Actor Losses,Critic Losses,Total Rewards,Avg Lengths
0.05916311591863632,4.849106788635254,-42.800994873046875,48.109375
0.01852346584200859,4.734614372253418,-43.621192932128906,48.71875
0.07169356197118759,4.381516933441162,-42.2664680480957,47.8359375
0.04542780667543411,4.064998149871826,-43.03687286376953,48.421875
-0.0016467865789309144,3.7307004928588867,-43.63294982910156,49.0
0.040064260363578796,4.307656764984131,-42.9886589050293,48.3984375
-0.0015336640644818544,3.8876941204071045,-43.617271423339844,49.0
0.019330929964780807,4.275992393493652,-43.340904235839844,48.6953125
-0.000617849815171212,3.839625835418701,-43.82344055175781,49.0
0.034648895263671875,4.266274452209473,-43.108489990234375,48.4453125
0.04554522782564163,3.944322347640991,-42.948707580566406,48.40625
0.053520020097494125,4.233061790466309,-43.00983810424805,48.3515625
0.05322898551821709,3.6853621006011963,-42.87701416015625,48.359375
0.022570166736841202,3.442681312561035,-43.37295913696289,48.6875
0.01765497587621212,3.396074056625366,-43.345924377441406,48.7265625
0.032314203679561615,3.3978564739227295,-43.33244323730469,48.6796875
0.03929957374930382,3.9643356800079346,-42.984771728515625,48.4296875
0.05372453108429909,4.211358547210693,-42.599021911621094,48.140625
0.028535516932606697,2.9346587657928467,-43.31100845336914,48.6875
-0.0029210306238383055,3.274747371673584,-43.68498992919922,49.0
-0.0018675950122997165,2.7445056438446045,-43.68537139892578,49.0
0.05168301984667778,3.6536383628845215,-42.855377197265625,48.359375
-0.0019868812523782253,2.9470226764678955,-43.6168212890625,49.0
0.034330546855926514,2.7052502632141113,-43.31317901611328,48.6953125
0.0269511416554451,3.4271697998046875,-43.21234893798828,48.703125
0.02672155760228634,3.0092382431030273,-43.19193649291992,48.6875
0.04017256945371628,3.285451889038086,-43.06364440917969,48.453125
0.020962044596672058,2.493239164352417,-43.26155090332031,48.7421875
0.062108736485242844,3.5527641773223877,-42.59840774536133,48.1640625
0.019917285069823265,2.8355116844177246,-43.24169921875,48.7265625
-0.003455247962847352,2.5632011890411377,-43.623619079589844,49.0
0.025078540667891502,2.9921391010284424,-43.40105438232422,48.7265625
-0.0035003104712814093,2.510188102722168,-43.570621490478516,49.0
0.01819736510515213,2.50787353515625,-43.27362823486328,48.7265625
0.03346787765622139,2.5830469131469727,-43.255001068115234,48.703125
-0.0003974824503529817,2.4032769203186035,-43.560882568359375,49.0
